id_kandidat,cv_text,id_lowongan,job_desc,label
C0015,Pengalaman 2 tahun sebagai admin dengan kemampuan Filing System.,L005,"Lowongan Data Analyst dengan keahlian Python, pengalaman minimal 5 tahun.",0
C0016,Saya memiliki pengalaman 5 tahun di bidang pemasaran digital dengan fokus pada Instagram Ads.,L006,"Dibutuhkan Digital Marketer dengan fokus pada Instagram Ads, pengalaman kerja minimal 5 tahun.",1
C0017,"Saya memiliki pengalaman 5 tahun sebagai Software Engineer, menguasai Node.js.",L007,"Dibutuhkan Digital Marketer dengan fokus pada SEM, pengalaman kerja minimal 6 tahun.",0
C0018,"Saya lulusan Statistika, pengalaman 5 tahun sebagai Data Analyst menggunakan Pandas.",L008,"Dicari Software Engineer dengan keahlian React, minimal pengalaman 7 tahun.",0
C0019,Saya memiliki pengalaman 1 tahun di bidang pemasaran digital dengan fokus pada Instagram Ads.,L009,"Staff Administrasi dibutuhkan, harus menguasai Inventory Control, pengalaman minimal 2 tahun.",0
C0020,Saya memiliki pengalaman 1 tahun di bidang pemasaran digital dengan fokus pada SEM.,L010,"Staff Administrasi dibutuhkan, harus menguasai Filing System, pengalaman minimal 2 tahun.",0
C0021,"Saya lulusan Statistika, pengalaman 3 tahun sebagai Data Analyst menggunakan Python.",L001,"Lowongan Data Analyst dengan keahlian Python, pengalaman minimal 3 tahun.",1
C0022,"Saya lulusan Statistika, pengalaman 5 tahun sebagai Data Analyst menggunakan SQL.",L002,"Lowongan Accounting Staff, menguasai Accurate, pengalaman kerja minimal 6 tahun.",0
C0023,Pengalaman 5 tahun sebagai admin dengan kemampuan Email Management.,L003,"Dicari Software Engineer dengan keahlian React, minimal pengalaman 8 tahun.",0
C0024,Saya memiliki pengalaman 2 tahun di bidang pemasaran digital dengan fokus pada SEO.,L004,"Dibutuhkan Digital Marketer dengan fokus pada SEO, pengalaman kerja minimal 2 tahun.",1
C0025,"Lulusan Akuntansi dengan pengalaman 2 tahun, terbiasa dengan MYOB.",L005,"Staff Administrasi dibutuhkan, harus menguasai ERP, pengalaman minimal 5 tahun.",0
C0026,Saya memiliki pengalaman 3 tahun di bidang pemasaran digital dengan fokus pada Google Ads.,L006,"Lowongan Accounting Staff, menguasai MYOB, pengalaman kerja minimal 4 tahun.",0
C0027,Pengalaman 4 tahun sebagai admin dengan kemampuan Filing System.,L007,"Lowongan Data Analyst dengan keahlian Tableau, pengalaman minimal 7 tahun.",0
C0028,Pengalaman 4 tahun sebagai admin dengan kemampuan Filing System.,L008,"Lowongan Data Analyst dengan keahlian SQL, pengalaman minimal 7 tahun.",0
C0029,Pengalaman 2 tahun sebagai admin dengan kemampuan Microsoft Excel.,L009,"Staff Administrasi dibutuhkan, harus menguasai Microsoft Excel, pengalaman minimal 2 tahun.",1
C0030,Pengalaman 5 tahun sebagai admin dengan kemampuan Inventory Control.,L010,"Lowongan Accounting Staff, menguasai Tax Reporting, pengalaman kerja minimal 6 tahun.",0
C0031,Saya memiliki pengalaman 3 tahun di bidang pemasaran digital dengan fokus pada Content Creation.,L001,"Staff Administrasi dibutuhkan, harus menguasai Email Management, pengalaman minimal 5 tahun.",0
C0032,"Saya memiliki pengalaman 3 tahun sebagai Software Engineer, menguasai Java.",L002,"Dicari Software Engineer dengan keahlian Java, minimal pengalaman 3 tahun.",1
C0033,"Lulusan Akuntansi dengan pengalaman 3 tahun, terbiasa dengan MYOB.",L003,"Staff Administrasi dibutuhkan, harus menguasai Filing System, pengalaman minimal 5 tahun.",0
C0034,"Saya lulusan Statistika, pengalaman 2 tahun sebagai Data Analyst menggunakan Excel.",L004,"Staff Administrasi dibutuhkan, harus menguasai Filing System, pengalaman minimal 4 tahun.",0
C0035,"Lulusan Akuntansi dengan pengalaman 3 tahun, terbiasa dengan Tax Reporting.",L005,"Dicari Software Engineer dengan keahlian React, minimal pengalaman 6 tahun.",0
C0036,"Lulusan Akuntansi dengan pengalaman 2 tahun, terbiasa dengan Accurate.",L006,"Lowongan Accounting Staff, menguasai Accurate, pengalaman kerja minimal 2 tahun.",1
C0037,"Lulusan Akuntansi dengan pengalaman 1 tahun, terbiasa dengan Tax Reporting.",L007,"Staff Administrasi dibutuhkan, harus menguasai Email Management, pengalaman minimal 4 tahun.",0
C0038,"Lulusan Akuntansi dengan pengalaman 5 tahun, terbiasa dengan Excel.",L008,"Staff Administrasi dibutuhkan, harus menguasai Filing System, pengalaman minimal 8 tahun.",0
C0039,"Saya memiliki pengalaman 1 tahun sebagai Software Engineer, menguasai Node.js.",L009,"Dibutuhkan Digital Marketer dengan fokus pada Content Creation, pengalaman kerja minimal 2 tahun.",0
C0040,Pengalaman 2 tahun sebagai admin dengan kemampuan Inventory Control.,L010,"Staff Administrasi dibutuhkan, harus menguasai Inventory Control, pengalaman minimal 2 tahun.",1
C0041,"Lulusan Akuntansi dengan pengalaman 5 tahun, terbiasa dengan Excel.",L001,"Lowongan Accounting Staff, menguasai Excel, pengalaman kerja minimal 5 tahun.",1
C0042,Saya memiliki pengalaman 2 tahun di bidang pemasaran digital dengan fokus pada Content Creation.,L002,"Dibutuhkan Digital Marketer dengan fokus pada Content Creation, pengalaman kerja minimal 2 tahun.",1
C0043,"Lulusan Akuntansi dengan pengalaman 4 tahun, terbiasa dengan Accurate.",L003,"Lowongan Data Analyst dengan keahlian SQL, pengalaman minimal 5 tahun.",0
C0044,"Lulusan Akuntansi dengan pengalaman 2 tahun, terbiasa dengan MYOB.",L004,"Lowongan Accounting Staff, menguasai MYOB, pengalaman kerja minimal 2 tahun.",1
C0045,"Lulusan Akuntansi dengan pengalaman 2 tahun, terbiasa dengan Excel.",L005,"Dibutuhkan Digital Marketer dengan fokus pada Instagram Ads, pengalaman kerja minimal 3 tahun.",0
C0046,Pengalaman 1 tahun sebagai admin dengan kemampuan Email Management.,L006,"Dibutuhkan Digital Marketer dengan fokus pada Content Creation, pengalaman kerja minimal 4 tahun.",0
C0047,Pengalaman 3 tahun sebagai admin dengan kemampuan Email Management.,L007,"Staff Administrasi dibutuhkan, harus menguasai Email Management, pengalaman minimal 3 tahun.",1
C0048,Pengalaman 4 tahun sebagai admin dengan kemampuan Email Management.,L008,"Lowongan Data Analyst dengan keahlian Pandas, pengalaman minimal 5 tahun.",0
C0049,"Saya lulusan Statistika, pengalaman 1 tahun sebagai Data Analyst menggunakan SQL.",L009,"Lowongan Data Analyst dengan keahlian SQL, pengalaman minimal 1 tahun.",1
C0050,"Saya lulusan Statistika, pengalaman 2 tahun sebagai Data Analyst menggunakan Tableau.",L010,"Lowongan Data Analyst dengan keahlian Tableau, pengalaman minimal 2 tahun.",1
C0051,"Lulusan Akuntansi dengan pengalaman 4 tahun, terbiasa dengan Tax Reporting.",L001,"Dicari Software Engineer dengan keahlian Python, minimal pengalaman 6 tahun.",0
C0052,"Lulusan Akuntansi dengan pengalaman 3 tahun, terbiasa dengan Excel.",L002,"Lowongan Accounting Staff, menguasai Excel, pengalaman kerja minimal 3 tahun.",1
C0053,Saya memiliki pengalaman 3 tahun di bidang pemasaran digital dengan fokus pada Instagram Ads.,L003,"Dibutuhkan Digital Marketer dengan fokus pada Instagram Ads, pengalaman kerja minimal 3 tahun.",1
C0054,"Lulusan Akuntansi dengan pengalaman 4 tahun, terbiasa dengan MYOB.",L004,"Dibutuhkan Digital Marketer dengan fokus pada Instagram Ads, pengalaman kerja minimal 7 tahun.",0
C0055,Pengalaman 4 tahun sebagai admin dengan kemampuan Email Management.,L005,"Dicari Software Engineer dengan keahlian Python, minimal pengalaman 6 tahun.",0
C0056,"Saya memiliki pengalaman 2 tahun sebagai Software Engineer, menguasai Spring Boot.",L006,"Lowongan Data Analyst dengan keahlian Pandas, pengalaman minimal 5 tahun.",0
C0057,Saya memiliki pengalaman 1 tahun di bidang pemasaran digital dengan fokus pada Content Creation.,L007,"Lowongan Data Analyst dengan keahlian Pandas, pengalaman minimal 3 tahun.",0
C0058,"Lulusan Akuntansi dengan pengalaman 1 tahun, terbiasa dengan Tax Reporting.",L008,"Dibutuhkan Digital Marketer dengan fokus pada SEM, pengalaman kerja minimal 4 tahun.",0
C0059,"Saya lulusan Statistika, pengalaman 2 tahun sebagai Data Analyst menggunakan Python.",L009,"Lowongan Data Analyst dengan keahlian Python, pengalaman minimal 2 tahun.",1
C0060,"Lulusan Akuntansi dengan pengalaman 1 tahun, terbiasa dengan MYOB.",L010,"Dicari Software Engineer dengan keahlian Java, minimal pengalaman 2 tahun.",0
C0061,Pengalaman 2 tahun sebagai admin dengan kemampuan Email Management.,L001,"Lowongan Data Analyst dengan keahlian Python, pengalaman minimal 4 tahun.",0
C0062,"Saya lulusan Statistika, pengalaman 2 tahun sebagai Data Analyst menggunakan SQL.",L002,"Lowongan Data Analyst dengan keahlian SQL, pengalaman minimal 2 tahun.",1
C0063,"Lulusan Akuntansi dengan pengalaman 3 tahun, terbiasa dengan SAP.",L003,"Lowongan Data Analyst dengan keahlian Excel, pengalaman minimal 6 tahun.",0
C0064,"Lulusan Akuntansi dengan pengalaman 5 tahun, terbiasa dengan MYOB.",L004,"Dicari Software Engineer dengan keahlian React, minimal pengalaman 7 tahun.",0
C0065,Pengalaman 3 tahun sebagai admin dengan kemampuan Email Management.,L005,"Lowongan Data Analyst dengan keahlian Excel, pengalaman minimal 6 tahun.",0
C0066,"Lulusan Akuntansi dengan pengalaman 3 tahun, terbiasa dengan Tax Reporting.",L006,"Dicari Software Engineer dengan keahlian Python, minimal pengalaman 4 tahun.",0
C0067,Saya memiliki pengalaman 3 tahun di bidang pemasaran digital dengan fokus pada Content Creation.,L007,"Lowongan Accounting Staff, menguasai MYOB, pengalaman kerja minimal 5 tahun.",0
C0068,Pengalaman 5 tahun sebagai admin dengan kemampuan Email Management.,L008,"Staff Administrasi dibutuhkan, harus menguasai Email Management, pengalaman minimal 5 tahun.",1
C0069,"Saya memiliki pengalaman 3 tahun sebagai Software Engineer, menguasai Node.js.",L009,"Dicari Software Engineer dengan keahlian Node.js, minimal pengalaman 3 tahun.",1
C0070,Pengalaman 3 tahun sebagai admin dengan kemampuan ERP.,L010,"Dicari Software Engineer dengan keahlian Node.js, minimal pengalaman 5 tahun.",0
C0071,"Lulusan Akuntansi dengan pengalaman 1 tahun, terbiasa dengan MYOB.",L001,"Lowongan Data Analyst dengan keahlian Pandas, pengalaman minimal 2 tahun.",0
C0072,"Saya memiliki pengalaman 1 tahun sebagai Software Engineer, menguasai React.",L002,"Lowongan Data Analyst dengan keahlian Excel, pengalaman minimal 4 tahun.",0
C0073,"Saya lulusan Statistika, pengalaman 3 tahun sebagai Data Analyst menggunakan Tableau.",L003,"Lowongan Data Analyst dengan keahlian Tableau, pengalaman minimal 3 tahun.",1
C0074,"Saya lulusan Statistika, pengalaman 5 tahun sebagai Data Analyst menggunakan Python.",L004,"Lowongan Data Analyst dengan keahlian Python, pengalaman minimal 5 tahun.",1
C0075,"Saya memiliki pengalaman 5 tahun sebagai Software Engineer, menguasai Java.",L005,"Staff Administrasi dibutuhkan, harus menguasai Filing System, pengalaman minimal 7 tahun.",0
C0076,Pengalaman 4 tahun sebagai admin dengan kemampuan Microsoft Excel.,L006,"Staff Administrasi dibutuhkan, harus menguasai Microsoft Excel, pengalaman minimal 4 tahun.",1
C0077,Pengalaman 3 tahun sebagai admin dengan kemampuan Filing System.,L007,"Lowongan Accounting Staff, menguasai SAP, pengalaman kerja minimal 6 tahun.",0
C0078,"Saya memiliki pengalaman 2 tahun sebagai Software Engineer, menguasai Python.",L008,"Staff Administrasi dibutuhkan, harus menguasai Microsoft Excel, pengalaman minimal 4 tahun.",0
C0079,"Saya memiliki pengalaman 5 tahun sebagai Software Engineer, menguasai Python.",L009,"Dicari Software Engineer dengan keahlian Python, minimal pengalaman 5 tahun.",1
C0080,Saya memiliki pengalaman 5 tahun di bidang pemasaran digital dengan fokus pada Google Ads.,L010,"Staff Administrasi dibutuhkan, harus menguasai Email Management, pengalaman minimal 8 tahun.",0
C0081,"Saya lulusan Statistika, pengalaman 1 tahun sebagai Data Analyst menggunakan Excel.",L001,"Staff Administrasi dibutuhkan, harus menguasai Microsoft Excel, pengalaman minimal 3 tahun.",0
C0082,"Lulusan Akuntansi dengan pengalaman 2 tahun, terbiasa dengan Tax Reporting.",L002,"Lowongan Accounting Staff, menguasai Tax Reporting, pengalaman kerja minimal 2 tahun.",1
C0083,Pengalaman 4 tahun sebagai admin dengan kemampuan Microsoft Excel.,L003,"Lowongan Data Analyst dengan keahlian Pandas, pengalaman minimal 7 tahun.",0
C0084,Pengalaman 5 tahun sebagai admin dengan kemampuan Inventory Control.,L004,"Dibutuhkan Digital Marketer dengan fokus pada Instagram Ads, pengalaman kerja minimal 8 tahun.",0
C0085,"Lulusan Akuntansi dengan pengalaman 3 tahun, terbiasa dengan MYOB.",L005,"Dibutuhkan Digital Marketer dengan fokus pada SEO, pengalaman kerja minimal 6 tahun.",0
C0086,"Saya lulusan Statistika, pengalaman 5 tahun sebagai Data Analyst menggunakan Pandas.",L006,"Dibutuhkan Digital Marketer dengan fokus pada SEO, pengalaman kerja minimal 8 tahun.",0
C0087,Pengalaman 4 tahun sebagai admin dengan kemampuan Filing System.,L007,"Dibutuhkan Digital Marketer dengan fokus pada Instagram Ads, pengalaman kerja minimal 6 tahun.",0
C0088,"Saya lulusan Statistika, pengalaman 2 tahun sebagai Data Analyst menggunakan Excel.",L008,"Dicari Software Engineer dengan keahlian React, minimal pengalaman 3 tahun.",0
C0089,Saya memiliki pengalaman 4 tahun di bidang pemasaran digital dengan fokus pada Content Creation.,L009,"Dibutuhkan Digital Marketer dengan fokus pada Content Creation, pengalaman kerja minimal 4 tahun.",1
C0090,"Saya lulusan Statistika, pengalaman 3 tahun sebagai Data Analyst menggunakan Pandas.",L010,"Lowongan Data Analyst dengan keahlian Pandas, pengalaman minimal 3 tahun.",1
C0091,"Saya lulusan Statistika, pengalaman 4 tahun sebagai Data Analyst menggunakan Tableau.",L001,"Lowongan Data Analyst dengan keahlian Tableau, pengalaman minimal 4 tahun.",1
C0092,"Lulusan Akuntansi dengan pengalaman 5 tahun, terbiasa dengan SAP.",L002,"Lowongan Accounting Staff, menguasai SAP, pengalaman kerja minimal 5 tahun.",1
C0093,"Saya lulusan Statistika, pengalaman 4 tahun sebagai Data Analyst menggunakan Tableau.",L003,"Dibutuhkan Digital Marketer dengan fokus pada SEO, pengalaman kerja minimal 7 tahun.",0
C0094,"Saya lulusan Statistika, pengalaman 3 tahun sebagai Data Analyst menggunakan Tableau.",L004,"Lowongan Data Analyst dengan keahlian Tableau, pengalaman minimal 3 tahun.",1
C0095,"Lulusan Akuntansi dengan pengalaman 5 tahun, terbiasa dengan Excel.",L005,"Dicari Software Engineer dengan keahlian Java, minimal pengalaman 6 tahun.",0
C0096,"Lulusan Akuntansi dengan pengalaman 5 tahun, terbiasa dengan MYOB.",L006,"Lowongan Accounting Staff, menguasai MYOB, pengalaman kerja minimal 5 tahun.",1
C0097,"Saya lulusan Statistika, pengalaman 2 tahun sebagai Data Analyst menggunakan Tableau.",L007,"Staff Administrasi dibutuhkan, harus menguasai Inventory Control, pengalaman minimal 4 tahun.",0
C0098,Pengalaman 3 tahun sebagai admin dengan kemampuan Microsoft Excel.,L008,"Staff Administrasi dibutuhkan, harus menguasai Microsoft Excel, pengalaman minimal 3 tahun.",1
C0099,Pengalaman 5 tahun sebagai admin dengan kemampuan Filing System.,L009,"Dibutuhkan Digital Marketer dengan fokus pada SEO, pengalaman kerja minimal 6 tahun.",0
C0100,"Saya memiliki pengalaman 5 tahun sebagai Software Engineer, menguasai Spring Boot.",L010,"Dibutuhkan Digital Marketer dengan fokus pada SEO, pengalaman kerja minimal 8 tahun.",0
C0101,Pengalaman 5 tahun sebagai admin dengan kemampuan ERP.,L001,"Dicari Software Engineer dengan keahlian Spring Boot, minimal pengalaman 6 tahun.",0
C0102,"Lulusan Akuntansi dengan pengalaman 5 tahun, terbiasa dengan Tax Reporting.",L002,"Lowongan Accounting Staff, menguasai Tax Reporting, pengalaman kerja minimal 5 tahun.",1
C0103,"Lulusan Akuntansi dengan pengalaman 1 tahun, terbiasa dengan SAP.",L003,"Lowongan Accounting Staff, menguasai SAP, pengalaman kerja minimal 1 tahun.",1
C0104,"Saya memiliki pengalaman 2 tahun sebagai Software Engineer, menguasai React.",L004,"Dicari Software Engineer dengan keahlian React, minimal pengalaman 2 tahun.",1
C0105,"Saya lulusan Statistika, pengalaman 4 tahun sebagai Data Analyst menggunakan Python.",L005,"Staff Administrasi dibutuhkan, harus menguasai Filing System, pengalaman minimal 6 tahun.",0
C0106,"Saya memiliki pengalaman 1 tahun sebagai Software Engineer, menguasai Java.",L006,"Lowongan Accounting Staff, menguasai SAP, pengalaman kerja minimal 2 tahun.",0
C0107,"Saya lulusan Statistika, pengalaman 3 tahun sebagai Data Analyst menggunakan Pandas.",L007,"Lowongan Data Analyst dengan keahlian Pandas, pengalaman minimal 3 tahun.",1
C0108,"Lulusan Akuntansi dengan pengalaman 2 tahun, terbiasa dengan Excel.",L008,"Dicari Software Engineer dengan keahlian React, minimal pengalaman 3 tahun.",0
C0109,"Lulusan Akuntansi dengan pengalaman 2 tahun, terbiasa dengan SAP.",L009,"Lowongan Accounting Staff, menguasai SAP, pengalaman kerja minimal 2 tahun.",1
C0110,"Saya lulusan Statistika, pengalaman 4 tahun sebagai Data Analyst menggunakan SQL.",L010,"Dibutuhkan Digital Marketer dengan fokus pada Content Creation, pengalaman kerja minimal 5 tahun.",0
C0111,"Saya lulusan Statistika, pengalaman 4 tahun sebagai Data Analyst menggunakan Python.",L001,"Dicari Software Engineer dengan keahlian Node.js, minimal pengalaman 6 tahun.",0
C0112,Pengalaman 4 tahun sebagai admin dengan kemampuan ERP.,L002,"Staff Administrasi dibutuhkan, harus menguasai ERP, pengalaman minimal 4 tahun.",1
C0113,"Saya memiliki pengalaman 1 tahun sebagai Software Engineer, menguasai Node.js.",L003,"Dibutuhkan Digital Marketer dengan fokus pada SEM, pengalaman kerja minimal 4 tahun.",0
C0114,"Lulusan Akuntansi dengan pengalaman 3 tahun, terbiasa dengan SAP.",L004,"Dicari Software Engineer dengan keahlian React, minimal pengalaman 6 tahun.",0
C0115,Pengalaman 1 tahun sebagai admin dengan kemampuan Inventory Control.,L005,"Lowongan Data Analyst dengan keahlian SQL, pengalaman minimal 2 tahun.",0
C0116,Saya memiliki pengalaman 5 tahun di bidang pemasaran digital dengan fokus pada Instagram Ads.,L006,"Dibutuhkan Digital Marketer dengan fokus pada Instagram Ads, pengalaman kerja minimal 5 tahun.",1
C0117,"Saya memiliki pengalaman 5 tahun sebagai Software Engineer, menguasai Node.js.",L007,"Lowongan Accounting Staff, menguasai Tax Reporting, pengalaman kerja minimal 6 tahun.",0
C0118,Saya memiliki pengalaman 2 tahun di bidang pemasaran digital dengan fokus pada Google Ads.,L008,"Staff Administrasi dibutuhkan, harus menguasai Email Management, pengalaman minimal 3 tahun.",0
C0119,Saya memiliki pengalaman 4 tahun di bidang pemasaran digital dengan fokus pada SEO.,L009,"Staff Administrasi dibutuhkan, harus menguasai ERP, pengalaman minimal 6 tahun.",0
C0120,"Lulusan Akuntansi dengan pengalaman 1 tahun, terbiasa dengan SAP.",L010,"Dibutuhkan Digital Marketer dengan fokus pada Content Creation, pengalaman kerja minimal 4 tahun.",0
C0121,"Saya lulusan Statistika, pengalaman 4 tahun sebagai Data Analyst menggunakan Pandas.",L001,"Lowongan Data Analyst dengan keahlian Pandas, pengalaman minimal 4 tahun.",1
C0122,"Lulusan Akuntansi dengan pengalaman 3 tahun, terbiasa dengan Tax Reporting.",L002,"Staff Administrasi dibutuhkan, harus menguasai Filing System, pengalaman minimal 5 tahun.",0
C0123,Saya memiliki pengalaman 3 tahun di bidang pemasaran digital dengan fokus pada SEO.,L003,"Dicari Software Engineer dengan keahlian Spring Boot, minimal pengalaman 4 tahun.",0
C0124,"Saya lulusan Statistika, pengalaman 4 tahun sebagai Data Analyst menggunakan Python.",L004,"Lowongan Accounting Staff, menguasai Tax Reporting, pengalaman kerja minimal 7 tahun.",0
C0125,Saya memiliki pengalaman 5 tahun di bidang pemasaran digital dengan fokus pada Instagram Ads.,L005,"Staff Administrasi dibutuhkan, harus menguasai ERP, pengalaman minimal 8 tahun.",0
C0126,Pengalaman 4 tahun sebagai admin dengan kemampuan Microsoft Excel.,L006,"Lowongan Accounting Staff, menguasai Tax Reporting, pengalaman kerja minimal 7 tahun.",0
C0127,Pengalaman 5 tahun sebagai admin dengan kemampuan Email Management.,L007,"Lowongan Accounting Staff, menguasai SAP, pengalaman kerja minimal 7 tahun.",0
C0128,"Saya memiliki pengalaman 5 tahun sebagai Software Engineer, menguasai React.",L008,"Dibutuhkan Digital Marketer dengan fokus pada Content Creation, pengalaman kerja minimal 8 tahun.",0
C0129,"Saya memiliki pengalaman 2 tahun sebagai Software Engineer, menguasai Python.",L009,"Dicari Software Engineer dengan keahlian Python, minimal pengalaman 2 tahun.",1
C0130,"Saya lulusan Statistika, pengalaman 3 tahun sebagai Data Analyst menggunakan Tableau.",L010,"Lowongan Accounting Staff, menguasai SAP, pengalaman kerja minimal 4 tahun.",0
C0131,Pengalaman 4 tahun sebagai admin dengan kemampuan Microsoft Excel.,L001,"Dicari Software Engineer dengan keahlian Java, minimal pengalaman 5 tahun.",0
C0132,Saya memiliki pengalaman 3 tahun di bidang pemasaran digital dengan fokus pada Instagram Ads.,L002,"Staff Administrasi dibutuhkan, harus menguasai Email Management, pengalaman minimal 4 tahun.",0
C0133,Saya memiliki pengalaman 2 tahun di bidang pemasaran digital dengan fokus pada SEO.,L003,"Staff Administrasi dibutuhkan, harus menguasai Microsoft Excel, pengalaman minimal 3 tahun.",0
C0134,Saya memiliki pengalaman 5 tahun di bidang pemasaran digital dengan fokus pada Instagram Ads.,L004,"Lowongan Data Analyst dengan keahlian SQL, pengalaman minimal 6 tahun.",0
C0135,"Saya memiliki pengalaman 5 tahun sebagai Software Engineer, menguasai Spring Boot.",L005,"Lowongan Data Analyst dengan keahlian SQL, pengalaman minimal 7 tahun.",0
C0136,Pengalaman 1 tahun sebagai admin dengan kemampuan Microsoft Excel.,L006,"Staff Administrasi dibutuhkan, harus menguasai Microsoft Excel, pengalaman minimal 1 tahun.",1
C0137,Pengalaman 1 tahun sebagai admin dengan kemampuan ERP.,L007,"Staff Administrasi dibutuhkan, harus menguasai ERP, pengalaman minimal 1 tahun.",1
C0138,Pengalaman 5 tahun sebagai admin dengan kemampuan Inventory Control.,L008,"Lowongan Accounting Staff, menguasai SAP, pengalaman kerja minimal 8 tahun.",0
C0139,"Saya memiliki pengalaman 4 tahun sebagai Software Engineer, menguasai Java.",L009,"Dicari Software Engineer dengan keahlian Java, minimal pengalaman 4 tahun.",1
C0140,"Saya lulusan Statistika, pengalaman 3 tahun sebagai Data Analyst menggunakan Python.",L010,"Lowongan Accounting Staff, menguasai MYOB, pengalaman kerja minimal 5 tahun.",0
C0141,"Saya memiliki pengalaman 3 tahun sebagai Software Engineer, menguasai Java.",L001,"Dicari Software Engineer dengan keahlian Java, minimal pengalaman 3 tahun.",1
C0142,Pengalaman 3 tahun sebagai admin dengan kemampuan Microsoft Excel.,L002,"Staff Administrasi dibutuhkan, harus menguasai Microsoft Excel, pengalaman minimal 3 tahun.",1
C0143,"Lulusan Akuntansi dengan pengalaman 5 tahun, terbiasa dengan MYOB.",L003,"Staff Administrasi dibutuhkan, harus menguasai ERP, pengalaman minimal 6 tahun.",0
C0144,Saya memiliki pengalaman 1 tahun di bidang pemasaran digital dengan fokus pada SEO.,L004,"Dicari Software Engineer dengan keahlian React, minimal pengalaman 3 tahun.",0
C0145,Saya memiliki pengalaman 5 tahun di bidang pemasaran digital dengan fokus pada Instagram Ads.,L005,"Dicari Software Engineer dengan keahlian React, minimal pengalaman 7 tahun.",0
C0146,Saya memiliki pengalaman 2 tahun di bidang pemasaran digital dengan fokus pada SEM.,L006,"Lowongan Accounting Staff, menguasai SAP, pengalaman kerja minimal 5 tahun.",0
C0147,"Saya lulusan Statistika, pengalaman 5 tahun sebagai Data Analyst menggunakan Python.",L007,"Lowongan Data Analyst dengan keahlian Python, pengalaman minimal 5 tahun.",1
C0148,Pengalaman 5 tahun sebagai admin dengan kemampuan ERP.,L008,"Dicari Software Engineer dengan keahlian Java, minimal pengalaman 8 tahun.",0
C0149,"Lulusan Akuntansi dengan pengalaman 1 tahun, terbiasa dengan Tax Reporting.",L009,"Staff Administrasi dibutuhkan, harus menguasai ERP, pengalaman minimal 2 tahun.",0
C0150,"Saya memiliki pengalaman 3 tahun sebagai Software Engineer, menguasai React.",L010,"Staff Administrasi dibutuhkan, harus menguasai Inventory Control, pengalaman minimal 4 tahun.",0
C0151,Pengalaman 2 tahun sebagai admin dengan kemampuan Inventory Control.,L001,"Staff Administrasi dibutuhkan, harus menguasai Inventory Control, pengalaman minimal 2 tahun.",1
C0152,"Saya memiliki pengalaman 3 tahun sebagai Software Engineer, menguasai Java.",L002,"Dibutuhkan Digital Marketer dengan fokus pada Instagram Ads, pengalaman kerja minimal 5 tahun.",0
